business_name,address,city,postal_code,lat,lon,matched_address
BOUGIE BOARDS LA,5152 8TH AVE,LOS ANGELES,90043,33.99567450508,-118.325709908713,"5152 8TH AVE, LOS ANGELES, CA, 90043"
BUBBAS BITES,20728 LYCOMING ST,WALNUT,91789,34.0028558317,-117.852026646686,"20728 LYCOMING ST, WALNUT, CA, 91789"
CAFE TUMBADO,12164 SHY ST,NORWALK,90650,33.92809575518,-118.073657767356,"12164 SHY ST, NORWALK, CA, 90650"
CAJUN FLARE,7841 RESEDA BLVD UNIT 227,RESEDA,91335,34.212762504847,-118.536135223608,"7841 RESEDA BLVD, RESEDA, CA, 91335"
CARNITAS EL BIGOTON BECERR,15558 HARVEST AVE,NORWALK,90650,33.889335245431,-118.091838914929,"15558 HARVEST AVE, NORWALK, CA, 90650"
CAROL C EVENTS,819 W 126TH ST,LOS ANGELES,90044,33.918167894045,-118.290002977076,"819 W 126TH ST, LOS ANGELES, CA, 90044"
CAT'S OUT THE BAG,25836 OAK ST 1/4,LOMITA,90717,33.788401311556,-118.317173673014,"25836 OAK ST, LOMITA, CA, 90717"
CHARCUTERIE ART CART LLC,1737 CUMBRE DR,SAN PEDRO,90732,33.729273888086,-118.315106381164,"1737 CUMBRE DR, SAN PEDRO, CA, 90732"
CHEESECAKE DE GRANGER,821 EDGEWOOD ST,INGLEWOOD,90302,33.973921802904,-118.354922955093,"821 EDGEWOOD ST, INGLEWOOD, CA, 90302"
CHEF C-NOTES CREATIONS,6430 YOLANDA AVE,RESEDA,91335,34.187587129907,-118.540322487739,"6430 YOLANDA AVE, RESEDA, CA, 91335"
CHEF GLENDA GOODNESS,2253 DELICIOUS LN,PALMDALE,93551,34.565956013777,-118.168828216341,"2253 DELICIOUS LN, PALMDALE, CA, 93551"
CHEF TOBIN'S PLANT BASED KI,17608 KINGSBUR ST,GRANADA HILLS,91344,34.263604814893,-118.517804632949,"17608 KINGSBURY ST, GRANADA HILLS, CA, 91344"
CHEZ FATOUMATA,2221 S WESTERN AVE UNIT 210,LOS ANGELES,90018,34.03579731847,-118.30904548513,"2221 S WESTERN AVE, LOS ANGELES, CA, 90018"
CHI TOWN PIZZA,126 E LINFIELD ST,GLENDORA,91740,34.124292818734,-117.863231244626,"126 E LINFIELD ST, GLENDORA, CA, 91740"
CHICAGO MEATS LA,11853 BURBANK BLVD,VALLEY VILLAGE,91607,34.172206434898,-118.391333362493,"11853 BURBANK BLVD, VALLEY VILLAGE, CA, 91607"
CHUCHU DESSERT LAB,700 W 9TH ST,LOS ANGELES,90015,34.045806429393,-118.261538395481,"700 W 9TH ST, LOS ANGELES, CA, 90015"
CINEMA CHOW,20304 HIGHPOINT PL,SANTA CLARITA,91351,34.43505610174,-118.491455499946,"20304 HIGHPOINT PL, SANTA CLARITA, CA, 91351"
CLUB 051,22252 HAMLIN ST,WOODLAND HILLS,91303,34.189065854265,-118.611736489856,"22252 HAMLIN ST, WOODLAND HILLS, CA, 91303"
COACH'S,11442 RUBIO AVE,GRANADA HILLS,91344,34.278056957587,-118.496686426169,"11442 RUBIO AVE, GRANADA HILLS, CA, 91344"
COFFEE AND TOAST,3614 NORTHLAND DR,VIEW PARK,90008,34.004653216117,-118.337416277077,"3614 NORTHLAND DR, VIEW PARK, CA, 90008"
CORAZON COFFEE AND PASTRI,10247 SAN GABRIEL,SOUTH GATE,90280,33.94076385509,-118.204699875374,"10247 SAN GABRIEL AVE, SOUTH GATE, CA, 90280"
CRAZY TASTY,2518 W 5TH ST APT 209,LOS ANGELES,90057,34.063302093736,-118.277517137969,"2518 W 5TH ST, LOS ANGELES, CA, 90057"
CREOLE DELIGHT HAITIAN,1215 S BRONSON AVE APT. 1,LOS ANGELES,90019,34.049712650144,-118.324353709835,"1215 S BRONSON AVE, LOS ANGELES, CA, 90019"
CUBAMEXICO,8459 OTIS ST APT 201,SOUTH GATE,90280,33.957694832935,-118.195870089621,"8459 OTIS ST, SOUTH GATE, CA, 90280"
DA BARBARA,1331 N CAHUENGA BLVD APT. L,WLOS ANGELES,90028,34.095262398994,-118.328926642252,"1331 N CAHUENGA BLVD, LOS ANGELES, CA, 90028"
DARIA PODDUBNIAK,12021 KLING ST 404,VALLEY VILLAGE,91607,34.155862436884,-118.394771338431,"12021 KLING ST, VALLEY VILLAGE, CA, 91607"
DEDDY'S VIBE,13336 STANFORD AVE,LOS ANGELES,90059,33.910872355598,-118.262478912179,"13336 STANFORD AVE, LOS ANGELES, CA, 90059"
DELICIA PURA,1136 1/2 W 89TH ST,LOS ANGELES,90044,33.956836269402,-118.294576141987,"1136 1/2 W 89TH ST, LOS ANGELES, CA, 90044"
DELICIAS SARITA FOOD,8020 BIRCHCRES RD B103,DOWNEY,90240,33.967216053751,-118.117678537943,"8020 BIRCHCREST RD, DOWNEY, CA, 90240"
DEVON EATS,1614 1/2 SCHRADER BLVD,LOS ANGELES,90028,34.100064419059,-118.332397833815,"1614 1/2 SCHRADER BLVD, LOS ANGELES, CA, 90028"
DOLCE TESORI,10205 PINEWOOD AVE 13,TUJUNGA,91042,34.254412880338,-118.285995108135,"10205 PINEWOOD AVE, TUJUNGA, CA, 91042"
DON'T YOU DAIRY,4450 W 130TH ST,HAWTHORNE,90250,33.914487657439,-118.354368656023,"4450 W 130TH ST, HAWTHORNE, CA, 90250"
DULCE SORPRESA Y MAS,3064 MARBELLA,PALMDALE,93550,34.570647705179,-118.073613142473,"3064 MARBELLA LN, PALMDALE, CA, 93550"
EAST BRITISH CURRY COMPAN,6045 WHITSETT AVE,NORTH HOLLYWOOD,91606,34.180248970061,-118.405317032934,"6045 WHITSETT AVE, NORTH HOLLYWOOD, CA, 91606"
EDIBLE KIDS ART,2819 1/4 W 42ND ST,LOS ANGELES,90008,34.007381917691,-118.324642027505,"2819 1/4 W 42ND ST, LOS ANGELES, CA, 90008"
EL PATIO CAFE,631 W 58TH ST,LOS ANGELES,90037,33.989768199388,-118.284606249109,"631 W 58TH ST, LOS ANGELES, CA, 90037"
ERKITCHEN.COM,5163 WINDERMERE AVE,LOS ANGELES,90041,34.140944120117,-118.217253796914,"5163 WINDERMERE AVE, LOS ANGELES, CA, 90041"
FAT DOG SOCIAL,4629 MONARCA AVE,TARZANA,91356,34.154319467507,-118.560572548649,"4629 MONARCA DR, TARZANA, CA, 91356"
FAVOR&FLAVOR AFRIQ LLC,6211 10TH AVE UNIT 1,LOS ANGELES,90043,33.98369683052,-118.327978916218,"6211 10TH AVE, LOS ANGELES, CA, 90043"
FAWZAI BAKES,4334 W 130TH ST D,HAWTHORNE,90250,33.914155653882,-118.350358422643,"4334 W 130TH ST, HAWTHORNE, CA, 90250"
"FENG MING DELICIOUS, INC",20228 MCGILL DR,WALNUT,9178-9,34.020563593112,-117.860566535772,"20228 MCGILL DR, WALNUT, CA, 91789"
FLOCAL KITCHEN,711 39TH 2,SAN PEDRO,90731,33.708690889097,-118.291973274447,"711 W 39TH ST, SAN PEDRO, CA, 90731"
FRANCESCA MALLUS CHEF,4105 W 184TH ST,TORRANCE,90504,33.864156903367,-118.345882482436,"4105 184TH ST, TORRANCE, CA, 90504"
FREE TO CHAT FIZZY,4109 SAN RAFAEL AVE,LOS ANGELES,90065,34.107003346693,-118.21365699241,"4109 SAN RAFAEL AVE, LOS ANGELES, CA, 90065"
FRESH FRUIT BY RUTH,5951 CARMELITA AVE APT 25,HUNTINGTON PARK,90255,33.987152772442,-118.196788755714,"5951 CARMELITA AVE, HUNTINGTON PARK, CA, 90255"
FRIED TACO CO,4812 GARRICK AVE,PICO RIVERA,90660,34.006638814244,-118.089176546861,"4812 GARRICK AVE, PICO RIVERA, CA, 90660"
FRIZZLES,4418 7TH AVE,LOS ANGELES,90043,34.003252176221,-118.324584398485,"4418 7TH AVE, LOS ANGELES, CA, 90043"
FULL TILT BBQ,24246 HIGHLANDER RD,WEST HILLS,91307,34.196845355322,-118.653274622378,"24246 HIGHLANDER RD, WEST HILLS, CA, 91307"
FUNDACION SONRIAS LATINAS,13736 COMMUNITY ST,PANORAMA CITY,91402,34.22265077227,-118.432243597162,"13736 COMMUNITY ST, PANORAMA CITY, CA, 91402"
GAMMA TAMALES,15733 CALLE EL CAPITAN,GREEN VALLEY,91390,34.618304954547,-118.406839918404,"15733 CLL EL CAPITAN, GREEN VALLEY, CA, 91390"
GANCIA'S CRAFT KITCHEN,3114 LOWELL AVE,LOS ANGELES,90032,34.081310930909,-118.16229726238,"3114 LOWELL AVE, LOS ANGELES, CA, 90032"
GARDEN OF EDENDALE,2333 AVON ST,LOS ANGELES,90026,34.091937117055,-118.245336651601,"2333 AVON ST, LOS ANGELES, CA, 90026"
GERAS_KOCINA,10821 COLYER AVE,LYNWOOD,90262,33.933730175453,-118.190938474287,"10821 COLYER AVE, LYNWOOD, CA, 90262"
GERTIE'S SWEET DELIGHTS,1218 LYMAN AVE,GLENDORA,91740,34.11658187447,-117.850182765735,"1218 LYMAN AVE, GLENDORA, CA, 91740"
GEZHONG GEYANG DE TIANDIA,3920 REDONDO BEACH BLVD 30,TORRANCE,90504,33.877881030402,-118.341819504707,"3920 REDONDO BEACH BLVD, TORRANCE, CA, 90504"
GM COFFEE CO,4743 MCNAB AVE,LAKEWOOD,90713,33.843996506092,-118.112278349591,"4743 MCNAB AVE, LAKEWOOD, CA, 90713"
GOLDEN GASTRONOME,16923 LABRADOR ST,NORTHRIDGE,91343,34.249408432736,-118.50070713358,"16923 LABRADOR ST, NORTHRIDGE, CA, 91343"
GORDITAS LAGUNERAS,7655 MARSH AVE,ROSEMEAD,91770,34.050952366208,-118.101497628412,"7655 MARSH AVE, ROSEMEAD, CA, 91770"
GPC,19726 LASSEN ST,CHATSWORTH,91311,34.249941844857,-118.562941218414,"19726 LASSEN ST, CHATSWORTH, CA, 91311"
GRANADA,1451 CARROLL AVE,LOS ANGELES,90026,34.070161226677,-118.255959782661,"1451 CARROLL AVE, LOS ANGELES, CA, 90026"
GUILLE'S KITCHEN,11357 E AVE T,LITTLEROCK,93543,34.542872990483,-117.924445293843,"11357 E AVE T, LITTLEROCK, CA, 93543"
GUOJIE JIA WEI XUAN,1838 S CHAPEL AVE,ALHAMBRA,91801,34.07367066183,-118.119616496583,"1838 S CHAPEL AVE, ALHAMBRA, CA, 91801"
HAMPY BREAD,1414 W 81ST ST,LOS ANGELES,90047,33.965432375493,-118.300610101881,"1414 W 81ST ST, LOS ANGELES, CA, 90047"
HAPPY COUPLE KITCHEN,3419 TAMARISK DR,PALMDALE,93551,34.617752435463,-118.191164981321,"3419 TAMARISK DR, PALMDALE, CA, 93551"
HEFAN HOME KITCHEN,629 E 219TH ST 6,CARSON,90745,33.828811465639,-118.264927553423,"629 E 219TH ST, CARSON, CA, 90745"
HEVN & RTH PURPOSE KCHN,3212 LA CIENEGA AVE # 1,LOS ANGELES,90034,34.031958363085,-118.378586787098,"3212 LA CIENEGA AVE, LOS ANGELES, CA, 90034"
HIBISCUS & WATERMELON,550 N FIGUEROA ST # 4015,LOS ANGELES,90012,34.06216223781,-118.246508067118,"550 N FIGUEROA ST, LOS ANGELES, CA, 90012"
HOLLYWOOD NOSH,3295 CARSE DR,LOS ANGELES,90068,34.12641806809,-118.350205283621,"3295 CARSE DR, LOS ANGELES, CA, 90068"
HOME KITCHEN,1909 E CALICO DR,WEST COVINA,91797,34.045371317313,-117.90512965089,"1909 E CALICO DR, WEST COVINA, CA, 91791"
HOME TABLE,1803 CARVIN AVE,ROWLAND HEIGHTS,91748,33.985219940145,-117.88329785606,"1803 CARVIN AVE, ROWLAND HEIGHTS, CA, 91748"
HOMECOOKED BY KP,9506 METRO ST,DOWNEY,90240,33.950757590882,-118.10074299309,"9506 METRO ST, DOWNEY, CA, 90240"
HOMESTYLE BITES,647 W 10TH ST,AZUSA,91702,34.139122411386,-117.914464958065,"647 W 10TH ST, AZUSA, CA, 91702"
HUI'S EXQUISITELY HAND MAD,4316 ARDEN DR,EL MONTE,91731,34.084326089671,-118.044326087791,"4316 ARDEN DR, EL MONTE, CA, 91731"
IBING BING,2451 HILLMAN,ROWLAND HEIGHTS,91748,33.972359465143,-117.883377579138,"2451 HILLMAN LN, ROWLAND HEIGHTS, CA, 91748"
J TAN HOME KITCHEN,214 N MOORE AVE,MONTEREY PARK,91754,34.063901948514,-118.130535474211,"214 N MOORE AVE, MONTEREY PARK, CA, 91754"
JACKRABBIT'S LAIR,4963 SIERRA VILLA DR,LOS ANGELES,90041,34.138983119508,-118.222907132028,"4963 SIERRA VILLA DR, LOS ANGELES, CA, 90041"
JAJAH OMAH,209 S REEVES DR 7,BEVERLY HILLS,90212,34.064712090982,-118.398040490578,"209 REEVES DR, BEVERLY HILLS, CA, 90212"
JANET'S HOME COOKING,433 S DOHENY DR APT B,BEVERLY HILLS,90211,34.058077806335,-118.389879172169,"433 S DOHENY DR, BEVERLY HILLS, CA, 90211"
JANZEN'S HILLSIDE TABLE,30980 HASLEY CANYON RD,CASTAIC,91384,34.47406113378,-118.672877833004,"30980 HASLEY CANYON RD, CASTAIC, CA, 91384"
JDAWGZ EATZ LLC,14410 ARANZA DR,LA MIRADA,90638,33.901614371211,-117.999763155015,"14410 ARANZA DR, LA MIRADA, CA, 90638"
JENNIFER SILBERT,1148 S VICTORIA AVE,LOS ANGELES,90019,34.05186856435,-118.325843180675,"1148 S VICTORIA AVE, LOS ANGELES, CA, 90019"
JERO'S ANTOJITOS MEXICANOS,521 W 118TH ST,LOS ANGELES,90044,33.926207377319,-118.283615416712,"521 W 118TH ST, LOS ANGELES, CA, 90044"
JP BBQ INC,783 GATUN ST UNIT 516,SAN PEDRO,90731,33.757686883853,-118.295700561587,"783 GATUN ST, SAN PEDRO, CA, 90731"
JUS BRISKET,18924 CITRONA ST,NORTHRIDGE,91324,34.245477844343,-118.545556191361,"18924 CITRONIA ST, NORTHRIDGE, CA, 91324"
KAFOU ALKALINE FOODS,2647 HALLDALE AVE # 112,LOS ANGELES,90018,34.031855613054,-118.302856700038,"2647 HALLDALE AVE, LOS ANGELES, CA, 90018"
KARAK CORNER,9745 PASO ROBLES,NORTHRIDGE,91325,34.247775795875,-118.503964909824,"9745 PASO ROBLES AVE, NORTHRIDGE, CA, 91325"
KDC HOSPITALITY GROUP LLC,4239 VIA ARBOLADA,LOS ANGELES,90042,34.095828359291,-118.188025572605,"4239 VIA ARBOLADA, LOS ANGELES, CA, 90042"
KERALA,15212 FAYSMITH AVE,GARDENA,90249,33.893628622689,-118.331448960231,"15212 S FAYSMITH AVE, GARDENA, CA, 90249"
KEREN 504 FRUITS,3929 E 1ST ST UNIT 1203,LOS ANGELES,90063,34.035886957394,-118.181548453845,"3929 E 1ST ST, LOS ANGELES, CA, 90063"
KRISHNAVENI BHOLANATH,333 S CATALINA ST APT 125,LOS ANGELES,90020,34.068469527262,-118.295479447164,"333 S CATALINA ST, LOS ANGELES, CA, 90020"
KRYBABY CAKES & CARDS,228 W POMONA AVE UNIT 522,MONROVIA,91016,34.134181142399,-118.003422052609,"228 W POMONA AVE, MONROVIA, CA, 91016"
LA BELLE BAGUETTE,25402 VIA NOVIA,VALENCIA,91355,34.386862633312,-118.5503071268,"25402 VIA NOVIA, VALENCIA, CA, 91355"
LA LA HAPPY KITCHEN,2636 MARYBETH AVE,SOUTH EL MONTE,91733,34.059523824601,-118.062075887785,"2636 MARYBETH AVE, SOUTH EL MONTE, CA, 91733"
LA SHUNXING,21023 NORTHVIEW DR,NORTHVIEW,91789,34.024806802075,-117.845100528163,"21023 NORTHVIEW DR, WALNUT, CA, 91789"
LAKAY FLAVORS,4016 SANTO TOMAS DR APT B,LOS ANGELES,90008,34.009378784302,-118.343974408441,"4016 SANTO TOMAS DR, LOS ANGELES, CA, 90008"
LAMB HOUSE GRILL,38939 DEER RUN RD,PALMDALE,93551,34.589503860372,-118.157808419532,"38939 DEER RUN RD, PALMDALE, CA, 93551"
LAS CHANGAS,14154 RAVEN ST,SYLMAR,91342,34.304902379297,-118.441223684046,"14154 RAVEN ST, SYLMAR, CA, 91342"
LASAGNE DI CATANIA,2010 RIDGEVIEW AVE,LOS ANGELES,90041,34.130149524553,-118.212073528856,"2010 RIDGEVIEW AVE, LOS ANGELES, CA, 90041"
LAYERED ICE CREAM PIES,653 MORENO AVE,LOS ANGELES,90049,34.04406683948,-118.48515164013,"653 MORENO AVE, LOS ANGELES, CA, 90049"
LEMME SMASH BURGER,731 S DETROIT AVE 206,LOS ANGELES,90036,34.061364198934,-118.345540026243,"731 S DETROIT ST, LOS ANGELES, CA, 90036"
LEZA,20842 TIARA ST,WOODLAND HILLS,91367,34.17634333233,-118.585500487025,"20842 TIARA ST, WOODLAND HILLS, CA, 91367"
LIANGPI HOUSE,5616 CLOVERLY AVE,TEMPLE CITY,91780,34.1016118872,-118.062708206174,"5616 CLOVERLY AVE, TEMPLE CITY, CA, 91780"
LITTLE CITY FARM,1156 S VICTORIA AVE,LOS ANGELES,90019,34.051607446522,-118.325986546475,"1156 S VICTORIA AVE, LOS ANGELES, CA, 90019"
LITUCHO'S GRILL,1515 N MYERS ST,BURBANK,91506,34.186644027346,-118.334649876468,"1515 N MYERS ST, BURBANK, CA, 91506"
LIV'S LUMPIAS,729 W PALM DR,PALM,91722,34.088689074245,-117.903985326538,"729 W PALM DR, COVINA, CA, 91722"
LOMO FUEGO-PERUVIAN FOOD,5612 LORELEI AVE,LAKEWOOD,90712,33.857685671871,-118.128906934397,"5612 LORELEI AVE, LAKEWOOD, CA, 90712"
LONG' STYLE,7424 COLUMBIA ST,ROSEMEAD,91770,34.071045787482,-118.107062748305,"7424 COLUMBIA ST, ROSEMEAD, CA, 91770"
LOSNOOYADO,11717 HATTERAS ST,LOS ANGELES,91607,34.175833434345,-118.388603258052,"11717 HATTERAS ST, VALLEY VILLAGE, CA, 91607"
LUCKY'S PLACE,4777 137TH PL 8,HAWTHORNE,90250,33.907027994234,-118.360753707912,"4777 137TH PL, HAWTHORNE, CA, 90250"
LUSCIOUS TIERRA,3983 HILLCREST DR 2,LOS ANGELES,90008,34.014189515115,-118.346126314629,"3983 HILLCREST DR, LOS ANGELES, CA, 90008"
LUVMI CHARCUTERIE,8712 S 8TH AVE,INGLEWOOD,90305,33.958671248592,-118.325316684994,"8712 S 8TH AVE, INGLEWOOD, CA, 90305"
MA'S OASIS,3225 CHICO AVE,EL MONTE,91733,34.066803048748,-118.060178519527,"3225 CHICO AVE, EL MONTE, CA, 91733"
MAM'S KITCHEN,505 S LAKE ST,BURBANK,91502,34.172556090989,-118.310341047204,"505 S LAKE ST, BURBANK, CA, 91502"
MAMA CHILA,8200 HOOPER AVE,LOS ANGELES,90001,33.964555895514,-118.252355884849,"8200 HOOPER AVE, LOS ANGELES, CA, 90001"
MAMA GLENDAS,1013 W MYRRH ST,COMPTON,90220,33.892043800358,-118.241828744479,"1013 W MYRRH ST, COMPTON, CA, 90220"
MAMA'S COOKING,855 S CITRUS AVE 45,AZUSA,91702,34.107437188382,-117.89031906656,"855 S CITRUS AVE, AZUSA, CA, 91702"
MAMMA NICOLE'S GARDEN GOO,4237 W AVENUE 40,LOS ANGELES,90065,34.128099773282,-118.231371593502,"4237 W AVE 40, LOS ANGELES, CA, 90065"
MANFU SNACK,17934 CALLE LOS ARBOLES APT,ROWLAND HEIGHTS,91748,33.984867099106,-117.914541120084,"17934 CLL LOS ARBOLES, ROWLAND HEIGHTS, CA, 91748"
MANGIA AT HOME LLC,3875 HAMPSTEAD RD,LA CANADA FLINTRIDGE,91011,34.186453243874,-118.200011254839,"3875 HAMPSTEAD RD, LA CANADA FLINTRIDGE, CA, 91011"
MANNGE CHIX,7306 BONNIE PL,RESEDA,91335,34.203213063468,-118.555190471297,"7306 BONNIE PL, RESEDA, CA, 91335"
MARDIROSIAN PRODUCTION IN,1681 SANTA BARBARA AVE,GLENDALE,91208,34.188533728535,-118.229838538164,"1681 SANTA BARBARA AVE, GLENDALE, CA, 91208"
MARIA AND CLAUDIO JIMENEZ,5248 COMERCIO AVE,WOODLAND HILLS,91364,34.165075199741,-118.595664599591,"5248 COMERCIO AVE, WOODLAND HILLS, CA, 91364"
MARJAN COOKERY,5525 CANOGA AVE UNIT 103,WOODLAND HILLS,91367,34.170999543652,-118.597500503169,"5525 CANOGA AVE, WOODLAND HILLS, CA, 91367"
MARTHA'S TACOS AND MEXICA,1 429 W 47TH ST,LOS ANGELES,90062,34.001104651874,-118.281862338913,"429 W 47TH ST, LOS ANGELES, CA, 90037"
MASTERPIECE KITCHEN,8730 E GREENWOD AVE,SAN GABRIEL,91775,34.123309662816,-118.078577222109,"8730 E GREENWOOD AVE, SAN GABRIEL, CA, 91775"
MAURITIAN STREET FOOD,14349 FRIAR ST UNIT 205,VAN NUYS,91401,34.185733436509,-118.445418661188,"14349 FRIAR ST, VAN NUYS, CA, 91401"
MEAT DISTRICT,1487 W 29TH ST,LOS ANGELES,90007,34.028719445157,-118.294296372817,"1487 W 29TH ST, LOS ANGELES, CA, 90007"
MEDITERRANEAN HOME KITCH,719 S JUANITA AVE,REDONDO BEACH,90277,33.832298246001,-118.379797111128,"719 S JUANITA AVE, REDONDO BEACH, CA, 90277"
MEHKO KITCHEN,501 E 99TH ST UNIT 5,INGLEWOOD,90301,33.946729704753,-118.349073035545,"501 E 99TH ST, INGLEWOOD, CA, 90301"
MEI LIN'S KITCHEN,1609 CLAY HILL AVE,HACIENDA HEIGHTS,91745,33.995934391419,-117.943925608455,"1609 CLAYHILL AVE, HACIENDA HEIGHTS, CA, 91745"
MEXIQ,27809 BRIDLEWOOD DR,CASTAIC,91384,34.46243841661,-118.620453594304,"27809 BRIDLEWOOD DR, CASTAIC, CA, 91384"
MI-RI YVONNE,15144 BURBANK BLVD APT 101,SHERMAN OAKS,91411,34.172053768455,-118.462812066779,"15144 BURBANK BLVD, SHERMAN OAKS, CA, 91411"
MICHIS LEMONADE COMPANYL,11533 TINA ST,NORWALK,90650,33.925991538413,-118.087890283668,"11533 TINA ST, NORWALK, CA, 90650"
MIDEAST EATS,9618 GRAPE ST,LOS ANGELES,90002,33.949169056495,-118.236225233843,"9618 GRAPE ST, LOS ANGELES, CA, 90002"
MILKSHAKE,4647 DON MIGUEL DR,LOS ANGELES,90008,34.004737615872,-118.356822872075,"4647 DON MIGUEL DR, LOS ANGELES, CA, 90008"
MINON CAKE,18035 VIA AMOROSA,ROWLAND HEIGHTS,91748,33.987328428171,-117.911297776093,"18035 VIA AMOROSA, ROWLAND HEIGHTS, CA, 91748"
MISTI'S HOUSE (PERUVIAN STY,15928 VANOWEN STRA 111,VAN NUYS,91406,34.193851153068,-118.47993917434,"15928 VANOWEN ST, VAN NUYS, CA, 91406"
MONTERO YOGURT,2704 1/2 HUMBERT AVE,SOUTH EL MONTE,91733,34.061381756648,-118.057781936185,"2704 1/2 HUMBERT AVE, SOUTH EL MONTE, CA, 91733"
MR RYONG'S ARTIST'S RICE,709 S KINGSLEY DR,LOS ANGELES,90005,34.059498688506,-118.303148013764,"709 S KINGSLEY DR, LOS ANGELES, CA, 90005"
MY KUZNA,2176 EL DORADO ST,TORRANCE,90501,33.834414501072,-118.321320713011,"2176 EL DORADO ST, TORRANCE, CA, 90501"
N. DIET,7847 MAMMOTH AVE,PANORAMA CITY,91402,34.213880003695,-118.432060553348,"7847 MAMMOTH AVE, PANORAMA CITY, CA, 91402"
"NAPO PIZZA, LLC",16854 KINZIE ST,NORTHRIDGE,91343,34.248533492976,-118.499261611831,"16854 KINZIE ST, NORTHRIDGE, CA, 91343"
NAWAL,838 SOLANO AVE,LOS ANGELES,90012,34.078458321829,-118.234893868348,"838 SOLANO AVE, LOS ANGELES, CA, 90012"
